"DisplayName","Mail"
"Special Projects - Interior Design Team","specialprojects-interiordesignteam@embraer.onmicrosoft.com"
"SQDC - PCP CAV","SQDC-PCPCAV-com@embraer.onmicrosoft.com"
"SQDC - TUBULA??O","SQDC-TUBULAO@embraer.onmicrosoft.com"
"SQDC_Jun??o de Fuselagem","SQDC_JunodeFuselagem@embraer.onmicrosoft.com"
"ST AFSOC (PCR 170106)","STAFSOC@embraer.onmicrosoft.com"
"Status Montagem final Ipanema","StatusMontagemfinalIpanema@embraer.onmicrosoft.com"
"Step plate placard","Stepplateplacard@embraer.onmicrosoft.com"
"Strategic Initiatives","StrategicInitiatives@embraer.onmicrosoft.com"
"Strategy & Competitive Intelligence KANBAN - Embraer S/A","StrategyCompetitiveIntelligenceKANBAN@embraer.onmicrosoft.com"
"Suporte ao Cliente LLI - HSI - SIK","SuporteaoClienteLLI-HSI-SIK@embraer.onmicrosoft.com"
"Task Force APDATA","TaskForceAPDATA@embraer.onmicrosoft.com"
"TASK FORCE MIMO","TASKFORCEMIMO@embraer.onmicrosoft.com"
"TEAM ENGAGEMENT (TEST)","TEAMENGAGEMENTTEST@embraer.onmicrosoft.com"
"Tech VOP","TechVOP@embraer.onmicrosoft.com"
"Test","Test410@embraer.onmicrosoft.com"
"TEST - DELETE ME","TEST-DELETEME@embraer.onmicrosoft.com"
"Test case","Testcase@embraer.onmicrosoft.com"
"Test Team","TestTeam406@embraer.onmicrosoft.com"
"Teste de Coisas","TestedeCoisas@embraer.onmicrosoft.com"
"Time Qualidade - SQDC","TimeQualidade-SQDC@embraer.onmicrosoft.com"
"TNC - 2023 Melhorias Processos","TNC-2023MelhoriasProcessos@embraer.onmicrosoft.com"
"Tool Purchases For Phenom Assembly","ToolPurchasesForPhenomAssembly@embraer.onmicrosoft.com"
"Tools Control Audit - Assembly Line","ToolsControlAudit-AssemblyLine@embraer.onmicrosoft.com"
"Trade Compliance WorkPlace","TradeComplianceWorkPlace@embraer.onmicrosoft.com"
"Transforma??o Digital - DNE","TransformaoDigital-Botucatu@embraer.onmicrosoft.com"
"Treinamento do bombeiro Pereira - COBE BOT","TreinamentodobombeiroPereira-COBEBOT@embraer.onmicrosoft.com"
"Unifica??o das posi??es de Jun??o","UnificaodasposiesdeJuno@embraer.onmicrosoft.com"
"UNIZAG Bird Strike","AnliseDinmica-Coop.UNIZG@embraer.onmicrosoft.com"
"Vendor?s Payment","MFIR@embraer.onmicrosoft.com"
"VENTFLAP - MLB x BOT","VENTFLAP-MLBxBOT@embraer.onmicrosoft.com"
"Workshop - Desenho Processo Mov. Pe?as FFS KC-390","Workshop-DesenhoProcessoMov.PeasFFSKC-390@embraer.onmicrosoft.com"
